band,cluster,condition,count,pct_of_cluster,pct_of_condition
Alpha,0,DMT,5140,40.69997624515005,99.49670925280681
Alpha,0,EC,3833,30.35077995090664,90.46495161670993
Alpha,0,EO,3656,28.949243803943304,99.94532531437945
Alpha,1,DMT,26,6.018518518518518,0.5032907471931862
Alpha,1,EC,404,93.51851851851852,9.535048383290064
Alpha,1,EO,2,0.4629629629629629,0.054674685620557675
