band,cluster,condition,count,pct_of_cluster,pct_of_condition
Delta,0,DMT,2114,77.04081632653062,41.61417322834646
Delta,0,EC,630,22.95918367346939,16.376397192617624
Delta,1,DMT,2966,47.97024098334142,58.38582677165355
Delta,1,EC,3217,52.02975901665858,83.62360280738238
