band,cluster,condition,count,pct_of_cluster,pct_of_condition
Theta,0,DMT,5146,40.73458402596374,99.61285327138985
Theta,0,EC,3833,30.341169951713766,90.46495161670993
Theta,0,EO,3654,28.924246022322485,99.89065062875888
Theta,1,DMT,20,4.672897196261682,0.38714672861014326
Theta,1,EC,404,94.39252336448598,9.535048383290064
Theta,1,EO,4,0.9345794392523363,0.10934937124111535
